Date,Price,Open,High,Low,Vol.,Change %
12/13/2020,6529.18,"6,546.75","6,604.54","6,484.04",4.39B,-0.27%
12/20/2020,6502.11,"6,529.18","6,530.28","6,315.34",2.98B,-0.41%
12/27/2020,6460.52,"6,502.11","6,676.60","6,439.41",1.57B,-0.64%
1/3/2021,6873.26,"6,460.52","6,903.61","6,460.52",4.71B,6.39%
1/10/2021,6735.71,"6,873.26","6,873.26","6,676.55",3.39B,-2.00%
01/17/2021,6695.07,"6,735.71","6,776.92","6,651.71",2.97B,-0.60%
01/24/2021,6407.46,"6,695.07","6,714.61","6,397.24",4.16B,-4.30%
01/31/2021,6489.33,"6,407.46","6,573.10","6,407.46",4.16B,1.28%
2/7/2021,6589.79,"6,489.33","6,589.79","6,481.02",3.27B,1.55%
02/14/2021,6624.02,"6,589.79","6,799.92","6,589.79",4.20B,0.52%
02/21/2021,6483.43,"6,624.02","6,702.88","6,465.57",5.27B,-2.12%
02/28/2021,6630.52,"6,483.43","6,710.80","6,483.43",4.29B,2.27%
3/7/2021,6761.47,"6,630.52","6,786.80","6,612.74",4.07B,1.97%
03/14/2021,6708.71,"6,761.47","6,812.78","6,664.56",5.00B,-0.78%
03/21/2021,6740.59,"6,708.71","6,742.14","6,618.61",4.05B,0.48%
03/28/2021,6737.3,"6,740.59","6,792.23","6,705.42",2.74B,-0.05%
4/4/2021,6915.75,"6,737.30","6,949.56","6,737.30",2.89B,2.65%
4/11/2021,7019.53,"6,915.75","7,037.65","6,853.75",3.20B,1.50%
04/18/2021,6938.56,"7,019.53","7,040.26","6,857.07",3.20B,-1.15%
04/25/2021,6969.81,"6,938.56","7,019.76","6,913.39",3.65B,0.45%
5/2/2021,7129.71,"6,969.81","7,143.46","6,912.28",3.04B,2.29%
5/9/2021,7043.61,"7,129.71","7,164.18","6,823.60",3.92B,-1.21%
05/16/2021,7018.05,"7,043.61","7,102.57","6,897.06",3.48B,-0.36%
05/23/2021,7022.61,"7,018.05","7,067.60","6,998.19",3.87B,0.06%
05/30/2021,7069.04,"7,022.61","7,122.54","7,013.85",2.34B,0.66%
6/6/2021,7134.06,"7,069.04","7,140.70","7,042.19",3.17B,0.92%
06/13/2021,7017.47,"7,134.06","7,217.54","7,008.74",4.33B,-1.63%
06/20/2021,7136.07,"7,017.47","7,139.08","6,948.63",3.25B,1.69%
06/27/2021,7123.27,"7,136.07","7,162.16","7,010.57",2.98B,-0.18%
7/4/2021,7121.88,"7,123.27","7,170.60","6,981.57",2.91B,-0.02%
7/11/2021,7008.09,"7,121.88","7,152.44","6,978.06",2.89B,-1.60%
07/18/2021,7027.58,"7,008.09","7,033.27","6,813.03",3.50B,0.28%
07/25/2021,7032.3,"7,027.58","7,093.93","6,929.64",3.10B,0.07%
8/1/2021,7122.95,"7,032.30","7,142.54","7,032.30",3.24B,1.29%
8/8/2021,7218.71,"7,122.95","7,224.46","7,089.74",2.70B,1.34%
08/15/2021,7087.9,"7,218.71","7,218.71","6,993.06",3.04B,-1.81%
08/22/2021,7148.01,"7,087.90","7,157.60","7,076.06",2.40B,0.85%
08/29/2021,7138.35,"7,148.01","7,187.34","7,092.03",2.56B,-0.14%
9/5/2021,7029.2,"7,138.35","7,195.62","6,998.62",2.52B,-1.53%
9/12/2021,6963.64,"7,029.20","7,092.69","6,941.69",4.29B,-0.93%
09/19/2021,7051.48,"6,963.64","7,131.43","6,828.28",3.89B,1.26%
09/26/2021,7027.07,"7,051.48","7,159.61","6,989.64",4.21B,-0.35%
10/3/2021,7095.55,"7,027.07","7,109.34","6,945.50",3.97B,0.97%
10/10/2021,7234.03,"7,095.55","7,243.85","7,063.43",4.16B,1.95%
10/17/2021,7204.55,"7,234.03","7,235.19","7,180.20",2.98B,-0.41%
10/24/2021,7237.57,"7,204.55","7,281.17","7,192.05",3.42B,0.46%
10/31/2021,7303.96,"7,237.57","7,331.25","7,235.32",3.90B,0.92%
11/7/2021,7347.91,"7,303.96","7,402.68","7,268.79",3.67B,0.60%
11/14/2021,7223.57,"7,347.91","7,368.25","7,198.76",4.10B,-1.69%
11/21/2021,7044.03,"7,223.57","7,311.94","7,042.12",4.01B,-2.49%
11/28/2021,7122.32,"7,044.03","7,196.05","6,989.66",4.71B,1.11%
12/5/2021,7291.78,"7,122.32","7,378.92","7,122.32",3.35B,2.38%
12/12/2021,7269.92,"7,291.78","7,309.23","7,166.83",5.00B,-0.30%
12/19/2021,7372.1,"7,269.92","7,403.65","7,101.04",2.67B,1.41%
12/26/2021,7384.54,"7,372.10","7,457.14","7,357.10",891.71M,0.17%
1/2/2022,7485.28,"7,384.54","7,529.97","7,384.54",3.19B,1.36%
1/9/2022,7542.95,"7,485.28","7,568.16","7,422.94",4.21B,0.77%
01/16/2022,7494.13,"7,542.95","7,619.01","7,450.49",4.21B,-0.65%
01/23/2022,7466.07,"7,494.13","7,596.70","7,283.38",5.47B,-0.37%
01/30/2022,7516.4,"7,466.07","7,605.75","7,450.89",4.02B,0.67%
2/6/2022,7661.02,"7,516.40","7,687.27","7,508.48",4.61B,1.92%
02/13/2022,7513.62,"7,661.02","7,661.02","7,483.36",4.41B,-1.92%
02/20/2022,7489.46,"7,513.62","7,571.07","7,204.74",5.82B,-0.32%
02/27/2022,6987.14,"7,489.46","7,499.33","6,980.86",7.04B,-6.71%
3/6/2022,7155.64,"6,987.14","7,260.40","6,787.98",6.90B,2.41%
03/13/2022,7404.73,"7,155.64","7,406.13","7,075.82",7.06B,3.48%
03/20/2022,7483.35,"7,404.73","7,521.14","7,402.60",4.25B,1.06%
03/27/2022,7537.9,"7,483.35","7,595.42","7,471.47",4.67B,0.73%
4/3/2022,7669.56,"7,537.90","7,669.56","7,532.23",5.22B,1.75%
4/10/2022,7616.38,"7,669.56","7,669.56","7,543.03",3.27B,-0.69%
04/17/2022,7521.68,"7,616.38","7,656.47","7,521.68",3.48B,-1.24%
04/24/2022,7544.55,"7,521.68","7,569.80","7,339.53",4.44B,0.30%
5/1/2022,7387.94,"7,544.55","7,619.39","7,354.06",4.05B,-2.08%
5/8/2022,7418.15,"7,387.94","7,421.95","7,158.53",4.72B,0.41%
