Date,Price,Open,High,Low,Vol.,Change %
8/2/2020,3351.28,"3,288.26","3,352.54","3,284.53",,2.45%
8/9/2020,3372.85,"3,356.04","3,387.89","3,326.44",,0.64%
08/16/2020,3397.16,"3,380.86","3,399.96","3,354.69",,0.72%
08/23/2020,3508.01,"3,418.09","3,509.23","3,413.13",,3.26%
08/30/2020,3426.96,"3,509.73","3,588.11","3,349.63",,-2.31%
9/6/2020,3340.97,"3,371.88","3,425.55","3,310.47",,-2.51%
09/13/2020,3319.47,"3,363.56","3,428.92","3,292.40",,-0.64%
09/20/2020,3298.46,"3,285.57","3,323.35","3,209.45",,-0.63%
09/27/2020,3348.44,"3,333.90","3,397.18","3,323.69",,1.52%
10/4/2020,3477.13,"3,367.27","3,482.34","3,354.54",,3.84%
10/11/2020,3483.81,"3,500.02","3,549.85","3,440.89",,0.19%
10/18/2020,3465.39,"3,493.66","3,502.42","3,415.34",,-0.53%
10/25/2020,3269.96,"3,441.42","3,441.42","3,233.94",,-5.64%
11/1/2020,3509.44,"3,296.20","3,529.05","3,279.74",,7.32%
11/8/2020,3585.15,"3,583.04","3,645.99","3,511.91",,2.16%
11/15/2020,3557.54,"3,600.16","3,628.51","3,543.84",,-0.77%
11/22/2020,3638.35,"3,566.82","3,644.31","3,552.77",,2.27%
11/29/2020,3699.12,"3,634.18","3,699.20","3,594.39",,1.67%
12/6/2020,3663.46,"3,694.73","3,712.39","3,633.40",,-0.96%
12/13/2020,3709.41,"3,675.27","3,726.70","3,645.84",,1.25%
12/20/2020,3703.06,"3,684.28","3,711.24","3,636.48",,-0.17%
12/27/2020,3756.07,"3,723.03","3,760.20","3,723.03",,1.43%
1/3/2021,3824.68,"3,764.61","3,826.69","3,662.71",,1.83%
1/10/2021,3768.25,"3,803.14","3,823.60","3,749.62",,-1.48%
01/17/2021,3841.47,"3,781.88","3,861.45","3,780.37",,1.94%
01/24/2021,3714.24,"3,851.68","3,870.90","3,694.12",,-3.31%
01/31/2021,3886.83,"3,731.17","3,894.56","3,725.62",,4.65%
2/7/2021,3934.83,"3,892.59","3,937.23","3,884.94",,1.23%
02/14/2021,3906.71,"3,939.61","3,950.43","3,885.03",,-0.71%
02/21/2021,3811.15,"3,885.55","3,928.65","3,789.54",,-2.45%
02/28/2021,3841.94,"3,842.51","3,914.50","3,723.34",,0.81%
3/7/2021,3943.34,"3,844.39","3,960.27","3,819.25",,2.64%
03/14/2021,3913.1,"3,942.96","3,983.87","3,886.75",,-0.77%
03/21/2021,3974.54,"3,916.48","3,978.19","3,853.50",,1.57%
03/28/2021,4019.87,"3,969.31","4,020.63","3,943.25",,1.14%
4/4/2021,4128.8,"4,034.44","4,129.48","4,034.44",,2.71%
4/11/2021,4185.47,"4,124.71","4,191.31","4,114.82",,1.37%
04/18/2021,4180.17,"4,179.80","4,194.17","4,118.38",,-0.13%
04/25/2021,4181.17,"4,185.03","4,218.78","4,174.85",,0.02%
5/2/2021,4232.6,"4,191.98","4,238.04","4,128.59",,1.23%
5/9/2021,4173.85,"4,228.29","4,236.39","4,056.88",,-1.39%
05/16/2021,4155.86,"4,169.92","4,188.72","4,061.41",,-0.43%
05/23/2021,4204.11,"4,170.16","4,218.36","4,170.16",,1.16%
05/30/2021,4229.89,"4,216.52","4,234.12","4,167.93",,0.61%
6/6/2021,4247.44,"4,229.34","4,249.74","4,208.41",,0.41%
06/13/2021,4166.45,"4,248.31","4,257.16","4,164.40",,-1.91%
06/20/2021,4280.7,"4,173.40","4,286.12","4,173.40",,2.74%
06/27/2021,4352.34,"4,284.90","4,355.43","4,274.67",,1.67%
7/4/2021,4369.55,"4,356.46","4,371.60","4,289.37",,0.40%
7/11/2021,4327.16,"4,372.41","4,393.68","4,322.53",,-0.97%
07/18/2021,4411.8,"4,273.40","4,415.90","4,232.80",,1.96%
07/25/2021,4395.26,"4,405.80","4,430.20","4,372.60",,-0.37%
8/1/2021,4436.52,"4,415.90","4,440.20","4,373.20",,0.94%
8/8/2021,4468,"4,436.20","4,468.82","4,424.20",,0.71%
08/15/2021,4441.67,"4,456.10","4,480.01","4,369.20",,-0.59%
08/22/2021,4509.37,"4,459.30","4,513.40","4,459.30",,1.52%
08/29/2021,4535.43,"4,517.20","4,544.58","4,514.40",,0.58%
9/5/2021,4458.58,"4,532.19","4,532.19","4,457.98",,-1.69%
9/12/2021,4432.99,"4,491.90","4,493.79","4,427.90",,-0.57%
09/19/2021,4455.48,"4,361.30","4,465.80","4,305.61",,0.51%
09/26/2021,4357.05,"4,443.10","4,457.25","4,288.05",,-2.21%
10/3/2021,4391.36,"4,344.35","4,430.59","4,278.70",,0.79%
10/10/2021,4471.37,"4,386.35","4,476.30","4,329.40",,1.82%
10/17/2021,4544.9,"4,453.57","4,559.70","4,445.90",,1.64%
10/24/2021,4605.38,"4,556.00","4,608.70","4,537.38",,1.33%
10/31/2021,4697.53,"4,616.47","4,718.35","4,594.80",,2.00%
11/7/2021,4682.85,"4,709.71","4,714.20","4,630.97",,-0.31%
11/14/2021,4697.96,"4,696.29","4,718.30","4,672.97",,0.32%
11/21/2021,4594.62,"4,716.00","4,743.74","4,585.78",,-2.20%
11/28/2021,4538.43,"4,648.68","4,673.07","4,494.20",,-1.22%
12/5/2021,4712.02,"4,565.70","4,713.60","4,541.53",,3.82%
12/12/2021,4620.64,"4,707.40","4,732.34","4,599.40",,-1.94%
12/19/2021,4725.78,"4,562.27","4,740.49","4,530.85",,2.28%
12/26/2021,4766.18,"4,740.05","4,808.52","4,739.20",,0.85%
1/2/2022,4677.02,"4,781.00","4,817.88","4,662.75",,-1.87%
1/9/2022,4662.85,"4,642.60","4,748.61","4,581.80",,-0.30%
01/16/2022,4397.93,"4,612.60","4,614.40","4,395.00",,-5.68%
01/23/2022,4431.85,"4,328.40","4,454.10","4,221.54",,0.77%
01/30/2022,4500.54,"4,423.30","4,595.10","4,411.09",,1.55%
2/6/2022,4418.64,"4,510.20","4,589.70","4,401.00",,-1.82%
02/13/2022,4348.87,"4,410.70","4,489.40","4,326.99",,-1.58%
02/20/2022,4384.62,"4,329.23","4,385.80","4,114.50",,0.82%
02/27/2022,4328.87,"4,326.72","4,416.60","4,280.04",,-1.27%
3/6/2022,4204.31,"4,319.93","4,324.00","4,157.20",,-2.88%
03/13/2022,4463.09,"4,214.90","4,466.40","4,161.18",,6.16%
03/20/2022,4543.04,"4,462.24","4,546.07","4,423.90",,1.79%
03/27/2022,4545.86,"4,536.73","4,637.90","4,507.20",,0.06%
4/3/2022,4488.28,"4,546.50","4,593.90","4,450.00",,-1.27%
4/10/2022,4392.59,"4,458.80","4,471.67","4,381.09",,-2.13%
04/17/2022,4271.78,"4,384.30","4,512.94","4,268.10",,-2.75%
04/24/2022,4131.93,"4,247.36","4,308.50","4,123.87",,-3.27%
5/1/2022,4123.34,"4,132.70","4,307.90","4,062.09",,-0.21%
5/8/2022,4023.89,"4,061.09","4,074.06","3,858.80",,-2.41%
05/15/2022,3901.36,"4,009.20","4,091.10","3,810.50",,-3.05%
05/22/2022,4158.24,"3,933.89","4,158.29","3,874.77",,6.58%
05/29/2022,4108.54,"4,139.15","4,177.60","4,073.60",,-1.20%
6/5/2022,3900.86,"4,152.40","4,169.04","3,900.01",,-5.05%
6/12/2022,3674.84,"3,800.54","3,837.97","3,636.82",,-5.79%
06/19/2022,3911.74,"3,732.13","3,912.87","3,716.13",,6.45%
06/26/2022,3825.33,"3,924.60","3,945.98","3,736.58",,-2.21%
7/3/2022,3899.38,"3,772.00","3,918.25","3,740.80",,1.94%
7/10/2022,3863.16,"3,870.40","3,881.22","3,720.25",,-0.93%
07/17/2022,3961.63,"3,895.50","4,013.12","3,818.76",,2.55%
07/24/2022,4130.29,"3,969.80","4,140.00","3,910.40",,4.26%
07/31/2022,4145.19,"4,103.38","4,167.63","4,080.38",,0.36%
8/7/2022,4280.15,"4,162.69","4,280.15","4,111.49",,3.26%
08/14/2022,4228.48,"4,256.53","4,325.50","4,218.60",,-1.21%
08/21/2022,4057.66,"4,176.67","4,204.63","4,057.66",,-4.04%
08/28/2022,3924.26,"4,026.84","4,063.55","3,903.00",,-3.29%
9/4/2022,4067.36,"3,935.35","4,077.00","3,887.33",,3.65%
9/11/2022,3873.33,"4,089.90","4,119.69","3,836.15",,-4.77%
09/18/2022,3693.23,"3,838.00","3,907.68","3,646.35",,-4.65%
09/25/2022,3585.62,"3,677.70","3,736.65","3,585.40",,-2.91%
